iter	Passed	Remaining
439	1359	1730
440	1363	1727
441	1368	1727
442	1370	1723
443	1373	1719
444	1377	1717
445	1380	1714
446	1382	1710
447	1384	1705
448	1386	1701
449	1388	1696
450	1391	1693
451	1393	1689
452	1395	1685
453	1398	1681
454	1400	1677
455	1402	1673
456	1407	1672
457	1409	1668
458	1412	1664
459	1414	1660
460	1416	1655
461	1418	1651
462	1423	1650
463	1426	1647
464	1428	1643
465	1430	1639
466	1433	1635
467	1441	1638
468	1444	1635
469	1446	1631
470	1449	1627
471	1453	1625
472	1455	1621
473	1457	1617
474	1459	1612
475	1461	1608
476	1463	1604
477	1465	1600
478	1468	1596
479	1470	1592
480	1472	1588
481	1473	1584
482	1475	1579
483	1477	1575
484	1480	1572
485	1483	1569
486	1485	1565
487	1487	1561
488	1489	1556
489	1492	1553
490	1495	1549
491	1498	1547
492	1500	1543
493	1502	1539
494	1504	1535
495	1507	1532
496	1514	1532
497	1516	1528
498	1518	1524
499	1520	1520
500	1522	1516
501	1524	1512
502	1528	1510
503	1530	1506
504	1532	1502
505	1535	1498
506	1537	1494
507	1539	1490
508	1543	1488
509	1545	1485
510	1547	1480
511	1554	1481
512	1563	1484
513	1566	1481
514	1568	1477
515	1574	1476
516	1579	1476
517	1582	1472
518	1584	1468
519	1588	1465
520	1591	1463
521	1595	1461
522	1598	1458
523	1602	1455
524	1605	1452
525	1609	1450
526	1612	1446
527	1614	1443
528	1617	1440
529	1620	1436
530	1625	1435
531	1628	1432
532	1634	1432
533	1636	1428
534	1638	1424
535	1641	1420
536	1643	1416
537	1649	1416
538	1652	1413
539	1654	1409
540	1656	1405
541	1658	1401
542	1665	1401
543	1667	1398
544	1669	1394
545	1671	1390
546	1674	1386
547	1679	1385
548	1682	1381
549	1684	1378
550	1686	1374
551	1690	1372
552	1692	1368
553	1695	1364
554	1697	1361
555	1699	1357
556	1702	1353
557	1706	1351
558	1708	1347
559	1709	1343
560	1711	1339
561	1713	1335
562	1716	1332
563	1720	1329
564	1723	1327
565	1725	1323
566	1727	1319
567	1729	1315
568	1734	1313
569	1738	1311
570	1741	1308
571	1744	1305
572	1746	1301
573	1748	1297
574	1751	1294
575	1754	1291
576	1756	1287
577	1758	1283
578	1760	1280
579	1762	1276
580	1767	1274
581	1770	1271
582	1772	1267
583	1774	1264
584	1776	1260
585	1779	1257
586	1781	1253
587	1783	1249
588	1785	1246
589	1788	1242
590	1790	1239
591	1792	1235
592	1796	1232
593	1798	1229
594	1800	1225
595	1803	1222
596	1805	1218
597	1808	1215
598	1811	1212
599	1813	1208
600	1814	1204
601	1816	1201
602	1818	1197
603	1820	1193
604	1823	1190
605	1825	1187
606	1828	1183
607	1829	1179
608	1831	1175
609	1833	1172
610	1834	1168
611	1837	1164
612	1839	1161
613	1841	1157
614	1843	1154
615	1845	1150
616	1847	1146
617	1849	1143
618	1851	1139
619	1854	1136
620	1856	1133
621	1858	1129
622	1860	1126
623	1862	1122
624	1864	1118
625	1869	1116
626	1871	1113
627	1873	1109
628	1875	1106
629	1877	1102
630	1878	1098
631	1881	1095
632	1884	1092
633	1886	1089
634	1888	1085
635	1891	1082
636	1893	1078
637	1896	1075
638	1899	1073
639	1901	1069
640	1903	1065
641	1904	1062
642	1906	1058
643	1908	1054
644	1910	1051
645	1912	1048
646	1914	1044
647	1916	1041
648	1918	1037
649	1919	1033
650	1921	1030
651	1923	1026
652	1926	1023
653	1928	1020
654	1930	1016
655	1931	1013
656	1933	1009
657	1935	1005
658	1936	1002
659	1938	998
660	1941	995
661	1943	992
662	1945	988
663	1947	985
664	1949	981
665	1951	978
666	1953	975
667	1958	973
668	1960	969
669	1962	966
670	1964	962
671	1965	959
672	1967	955
673	1969	952
674	1972	949
675	1974	946
676	1976	942
677	1978	939
678	1980	936
679	1982	933
680	1984	929
681	1987	926
682	1990	923
683	1992	920
684	1994	917
685	1997	914
686	1999	910
687	2002	908
688	2009	907
689	2011	903
690	2013	900
691	2016	897
692	2023	896
693	2026	893
694	2028	890
695	2036	889
696	2038	886
697	2041	883
698	2043	879
699	2046	876
700	2049	874
701	2052	871
702	2054	868
703	2056	864
704	2058	861
705	2062	858
706	2067	856
707	2069	853
708	2071	850
709	2073	846
710	2077	844
711	2080	841
712	2085	839
713	2087	836
714	2089	832
715	2091	829
716	2093	826
717	2099	824
718	2101	821
719	2103	817
720	2111	817
721	2113	813
722	2115	810
723	2117	807
724	2121	804
725	2126	802
726	2128	799
727	2130	796
728	2133	792
729	2138	791
730	2141	788
731	2143	784
732	2145	781
733	2149	778
734	2155	777
735	2157	773
736	2159	770
737	2161	767
738	2163	764
739	2170	762
740	2172	759
741	2174	756
742	2176	752
743	2178	749
744	2183	747
745	2189	745
746	2191	742
747	2193	738
748	2195	735
749	2199	733
750	2202	730
751	2204	727
752	2206	723
753	2208	720
754	2211	717
755	2214	714
756	2216	711
757	2218	708
758	2220	705
759	2225	702
760	2228	699
761	2230	696
762	2232	693
763	2234	690
764	2236	686
765	2242	684
766	2244	681
767	2246	678
768	2248	675
769	2250	672
770	2258	670
771	2263	668
772	2264	665
773	2266	661
774	2275	660
775	2278	657
776	2280	654
777	2282	651
778	2285	648
779	2289	645
780	2291	642
781	2293	639
782	2295	636
783	2297	633
784	2304	631
785	2306	628
786	2308	624
787	2310	621
788	2312	618
789	2316	615
790	2318	612
791	2320	609
792	2322	606
793	2324	603
794	2332	601
795	2335	598
796	2337	595
797	2339	592
798	2341	589
799	2346	586
800	2349	583
801	2351	580
802	2353	577
803	2354	574
804	2356	570
805	2358	567
806	2363	565
807	2365	562
808	2367	558
809	2369	555
810	2374	553
811	2378	550
812	2380	547
813	2383	544
814	2384	541
815	2386	538
816	2392	535
817	2394	532
818	2396	529
819	2398	526
820	2402	523
821	2406	521
822	2408	518
823	2410	514
824	2412	511
825	2414	508
826	2419	506
827	2423	503
828	2425	500
829	2426	497
830	2428	493
831	2430	490
832	2437	488
833	2439	485
834	2440	482
835	2442	479
836	2444	476
837	2446	473
838	2450	470
839	2452	467
840	2454	464
841	2456	461
842	2463	458
843	2465	455
844	2468	452
845	2469	449
846	2471	446
847	2473	443
848	2477	440
849	2480	437
850	2482	434
851	2484	431
852	2486	428
853	2488	425
854	2490	422
855	2496	419
856	2500	417
857	2502	414
858	2504	411
859	2508	408
860	2511	405
861	2515	402
862	2517	399
863	2519	396
864	2522	393
865	2524	390
866	2528	387
867	2531	384
868	2533	381
869	2536	379
870	2538	376
871	2542	373
872	2544	370
873	2547	367
874	2549	364
875	2552	361
876	2557	358
877	2560	355
878	2562	352
879	2564	349
880	2571	347
881	2574	344
882	2576	341
883	2578	338
884	2581	335
885	2585	332
886	2587	329
887	2589	326
888	2591	323
889	2593	320
890	2598	317
891	2601	315
892	2603	311
893	2606	309
894	2608	306
895	2610	302
896	2613	300
897	2615	297
898	2617	294
899	2619	291
900	2622	288
901	2625	285
902	2628	282
903	2630	279
904	2632	276
905	2634	273
906	2636	270
907	2638	267
908	2642	264
909	2644	261
910	2646	258
911	2648	255
912	2650	252
913	2652	249
914	2655	246
915	2659	243
916	2661	240
917	2663	237
918	2664	234
919	2667	231
920	2672	229
921	2674	226
922	2676	223
923	2678	220
924	2680	217
925	2682	214
926	2685	211
927	2687	208
928	2689	205
929	2691	202
930	2693	199
931	2694	196
932	2696	193
933	2699	190
934	2703	187
935	2705	185
936	2707	182
937	2709	179
938	2714	176
939	2718	173
940	2722	170
941	2724	167
942	2726	164
943	2728	161
944	2732	159
945	2735	156
946	2738	153
947	2739	150
948	2741	147
949	2749	144
950	2751	141
951	2753	138
952	2755	135
953	2760	133
954	2763	130
955	2765	127
